year,month,day,cases
2021,1,3,457
2021,1,4,1007
2021,1,5,1169
2021,1,6,1367
2021,1,7,1629
2021,1,8,1259
2021,1,9,416
2021,1,10,208
2021,1,11,1345
2021,1,12,1163
2021,1,13,1175
2021,1,14,999
2021,1,15,877
2021,1,16,292
2021,1,17,168
2021,1,18,648
2021,1,19,883
2021,1,20,859
2021,1,21,659
2021,1,22,659
2021,1,23,266
2021,1,24,56
2021,1,25,605
2021,1,26,684
2021,1,27,643
2021,1,28,487
2021,1,29,510
2021,1,30,176
2021,1,31,56
2021,2,1,617
2021,2,2,503
2021,2,3,485
2021,2,4,430
2021,2,5,387
2021,2,6,197
2021,2,7,25
2021,2,8,418
2021,2,9,460
2021,2,10,420
2021,2,11,380
2021,2,12,332
2021,2,13,97
2021,2,14,35
2021,2,15,371
2021,2,16,369
2021,2,17,447
2021,2,18,383
2021,2,19,369
2021,2,20,175
2021,2,21,11
2021,2,22,421
2021,2,23,473
2021,2,24,481
2021,2,25,458
2021,2,26,475
2021,2,27,132
2021,2,28,29
2021,3,1,510
2021,3,2,499
2021,3,3,516
2021,3,4,441
2021,3,5,437
2021,3,6,168
2021,3,7,88
2021,3,8,74
2021,3,9,475
2021,3,10,601
2021,3,11,673
2021,3,12,679
2021,3,13,266
2021,3,14,67
2021,3,15,680
2021,3,16,637
2021,3,17,748
2021,3,18,759
2021,3,19,628
2021,3,20,254
2021,3,21,81
2021,3,22,882
2021,3,23,1033
2021,3,24,997
2021,3,25,935
2021,3,26,976
2021,3,27,466
2021,3,28,102
2021,3,29,782
2021,3,30,949
2021,3,31,1108
2021,4,1,915
2021,4,2,352
2021,4,3,675
2021,4,4,176
2021,4,5,323
2021,4,6,624
2021,4,7,738
2021,4,8,944
2021,4,9,1074
2021,4,10,491
2021,4,11,100
2021,4,12,807
2021,4,13,1088
2021,4,14,1244
2021,4,15,1086
2021,4,16,937
2021,4,17,385
2021,4,18,110
2021,4,19,840
2021,4,20,1029
2021,4,21,1066
2021,4,22,890
2021,4,23,814
2021,4,24,427
2021,4,25,97
2021,4,26,925
2021,4,27,976
2021,4,28,883
2021,4,29,778
2021,4,30,676
2021,5,1,216
2021,5,2,27
2021,5,3,702
2021,5,4,787
2021,5,5,751
2021,5,6,601
2021,5,7,607
2021,5,8,194
2021,5,9,25
2021,5,10,555
2021,5,11,514
2021,5,12,675
2021,5,13,126
2021,5,14,433
2021,5,15,177
2021,5,16,34
2021,5,17,413
2021,5,18,471
2021,5,19,437
2021,5,20,249
2021,5,21,319
2021,5,22,104
2021,5,23,26
2021,5,24,79
2021,5,25,240
2021,5,26,296
2021,5,27,266
2021,5,28,241
2021,5,29,63
2021,5,30,8
2021,5,31,200
2021,6,1,174
2021,6,2,214
2021,6,3,224
2021,6,4,149
2021,6,5,27
2021,6,6,7
2021,6,7,117
2021,6,8,114
2021,6,9,117
2021,6,10,106
2021,6,11,88
2021,6,12,12
2021,6,13,5
2021,6,14,62
2021,6,15,60
2021,6,16,65
2021,6,17,27
2021,6,18,49
2021,6,19,17
2021,6,20,1
2021,6,21,58
2021,6,22,44
2021,6,23,52
2021,6,24,47
2021,6,25,41
2021,6,26,8
2021,6,28,39
2021,6,29,45
2021,6,30,36
2021,7,1,36
2021,7,2,38
2021,7,3,3
2021,7,4,4
2021,7,5,71
2021,7,6,59
2021,7,7,54
2021,7,8,47
2021,7,9,65
2021,7,10,7
2021,7,11,1
2021,7,12,108
2021,7,13,115
2021,7,14,130
2021,7,15,137
2021,7,16,141
2021,7,17,19
2021,7,18,1
2021,7,19,221
2021,7,20,194
2021,7,21,172
2021,7,22,140
2021,7,23,172
2021,7,24,26
2021,7,25,9
2021,7,26,250
2021,7,27,207
2021,7,28,206
2021,7,29,206
2021,7,30,183
2021,7,31,26
2021,8,1,14
2021,8,2,285
2021,8,3,286
2021,8,4,328
2021,8,5,268
2021,8,6,228
2021,8,7,73
2021,8,8,45
2021,8,9,452
2021,8,10,448
2021,8,11,506
2021,8,12,459
2021,8,13,442
2021,8,14,110
2021,8,15,52
2021,8,16,637
2021,8,17,556
2021,8,18,508
2021,8,19,443
2021,8,20,465
2021,8,21,101
2021,8,22,39
2021,8,23,613
2021,8,24,620
2021,8,25,631
2021,8,26,507
2021,8,27,453
2021,8,28,114
2021,8,29,52
2021,8,30,662
2021,8,31,802
2021,9,1,677
2021,9,2,477
2021,9,3,488
2021,9,4,153
2021,9,5,41
2021,9,6,721
2021,9,7,663
2021,9,8,673
2021,9,9,585
2021,9,10,551
2021,9,11,108
2021,9,12,16
2021,9,13,723
2021,9,14,634
2021,9,15,642
2021,9,16,471
2021,9,17,426
2021,9,18,100
2021,9,19,15
2021,9,20,593
2021,9,21,508
2021,9,22,575
2021,9,23,417
2021,9,24,474
2021,9,25,84
2021,9,26,27
2021,9,27,599
2021,9,28,585
2021,9,29,692
2021,9,30,499
2021,10,1,484
2021,10,2,82
2021,10,3,60
2021,10,4,619
2021,10,5,664
2021,10,6,597
2021,10,7,523
2021,10,8,534
2021,10,9,128
2021,10,10,27
2021,10,11,673
2021,10,12,704
2021,10,13,617
2021,10,14,524
2021,10,15,629
2021,10,16,203
2021,10,17,73
2021,10,18,857
2021,10,19,849
2021,10,20,980
2021,10,21,768
2021,10,22,731
2021,10,23,266
2021,10,24,43
2021,10,25,918
2021,10,26,1193
2021,10,27,1207
2021,10,28,1028
2021,10,29,976
2021,10,30,273
2021,10,31,116
2021,11,1,1243
2021,11,2,1395
2021,11,3,1583
2021,11,4,1593
2021,11,5,1389
2021,11,6,259
2021,11,7,129
2021,11,8,2203
2021,11,9,2058
2021,11,10,2722
2021,11,11,2124
2021,11,12,2055
2021,11,13,595
2021,11,14,287
2021,11,15,2884
2021,11,16,2865
2021,11,17,2853
2021,11,18,2389
2021,11,19,2096
2021,11,20,459
2021,11,21,291
2021,11,22,3137
2021,11,23,2654
2021,11,24,2857
2021,11,25,2575
2021,11,26,2627
2021,11,27,719
2021,11,28,392
2021,11,29,2769
2021,11,30,2666
2021,12,1,2236
2021,12,2,2537
2021,12,3,2087
2021,12,4,610
2021,12,5,275
2021,12,6,1912
