year,month,day,cases
2020,12,9,558
2020,12,10,378
2020,12,11,587
2020,12,12,418
2020,12,13,404
2020,12,14,522
2020,12,15,803
2020,12,16,608
2020,12,17,760
2020,12,18,671
2020,12,19,574
2020,12,20,241
2020,12,21,290
2020,12,22,380
2020,12,23,579
2020,12,24,305
2020,12,25,44
2020,12,26,525
2020,12,27,356
2020,12,28,267
2020,12,29,499
2020,12,30,598
2020,12,31,336
2021,1,1,55
2021,1,2,347
2021,1,3,247
2021,1,4,288
2021,1,5,430
2021,1,6,328
2021,1,7,351
2021,1,8,497
2021,1,9,365
2021,1,10,166
2021,1,11,233
2021,1,12,422
2021,1,13,383
2021,1,14,299
2021,1,15,291
2021,1,16,223
2021,1,17,140
2021,1,18,184
2021,1,19,261
2021,1,20,233
2021,1,21,185
2021,1,22,188
2021,1,23,134
2021,1,24,108
2021,1,25,141
2021,1,26,192
2021,1,27,184
2021,1,28,163
2021,1,29,152
2021,1,30,121
2021,1,31,68
2021,2,1,71
2021,2,2,107
2021,2,3,111
2021,2,4,126
2021,2,5,126
2021,2,6,69
2021,2,7,38
2021,2,8,89
2021,2,9,129
2021,2,10,84
2021,2,11,99
2021,2,12,72
2021,2,13,59
2021,2,14,32
2021,2,15,90
2021,2,16,44
2021,2,17,87
2021,2,18,96
2021,2,19,83
2021,2,20,57
2021,2,21,39
2021,2,22,78
2021,2,23,81
2021,2,24,101
2021,2,25,89
2021,2,26,129
2021,2,27,90
2021,2,28,68
2021,3,1,92
2021,3,2,158
2021,3,3,148
2021,3,4,127
2021,3,5,140
2021,3,6,127
2021,3,7,69
2021,3,8,135
2021,3,9,171
2021,3,10,198
2021,3,11,181
2021,3,12,164
2021,3,13,130
2021,3,14,113
2021,3,15,170
2021,3,16,221
2021,3,17,200
2021,3,18,197
2021,3,19,205
2021,3,20,156
2021,3,21,159
2021,3,22,155
2021,3,23,219
2021,3,24,270
2021,3,25,286
2021,3,26,282
2021,3,27,216
2021,3,28,145
2021,3,29,204
2021,3,30,301
2021,3,31,296
2021,4,1,238
2021,4,2,185
2021,4,3,171
2021,4,4,173
2021,4,5,183
2021,4,6,291
