date	agegroup	sari_covid19_incidence
2020-W10	60-79	0.2
2020-W10	80+	0.0
2020-W10	00+	0.1
2020-W11	60-79	1.6
2020-W11	80+	1.9
2020-W11	00+	0.8
2020-W12	60-79	4.9
2020-W12	80+	6.5
2020-W12	00+	2.3
2020-W13	60-79	9.4
2020-W13	80+	16.2
2020-W13	00+	5.2
2020-W14	60-79	9.3
2020-W14	80+	23.6
2020-W14	00+	5.1
2020-W15	60-79	6.3
2020-W15	80+	19.8
2020-W15	00+	3.8
2020-W16	60-79	5.2
2020-W16	80+	12.3
2020-W16	00+	2.7
2020-W17	60-79	3.2
2020-W17	80+	9.7
2020-W17	00+	2.3
2020-W18	60-79	1.6
2020-W18	80+	3.9
2020-W18	00+	1.0
2020-W19	60-79	1.4
2020-W19	80+	3.6
2020-W19	00+	1.0
2020-W20	60-79	1.2
2020-W20	80+	2.3
2020-W20	00+	0.6
2020-W21	60-79	0.6
2020-W21	80+	1.6
2020-W21	00+	0.4
2020-W22	60-79	0.4
2020-W22	80+	2.3
2020-W22	00+	0.4
2020-W23	60-79	0.8
2020-W23	80+	0.6
2020-W23	00+	0.3
2020-W24	60-79	0.4
2020-W24	80+	1.3
2020-W24	00+	0.5
2020-W25	60-79	0.4
2020-W25	80+	1.3
2020-W25	00+	0.4
2020-W26	60-79	0.5
2020-W26	80+	0.3
2020-W26	00+	0.2
2020-W27	60-79	0.1
2020-W27	80+	0.3
2020-W27	00+	0.2
2020-W28	60-79	0.2
2020-W28	80+	0.6
2020-W28	00+	0.3
2020-W29	60-79	0.5
2020-W29	80+	0.0
2020-W29	00+	0.4
2020-W30	60-79	0.5
2020-W30	80+	0.3
2020-W30	00+	0.2
2020-W31	60-79	0.8
2020-W31	80+	1.3
2020-W31	00+	0.5
2020-W32	60-79	0.5
2020-W32	80+	1.3
2020-W32	00+	0.4
2020-W33	60-79	0.4
2020-W33	80+	0.6
2020-W33	00+	0.4
2020-W34	60-79	0.4
2020-W34	80+	0.3
2020-W34	00+	0.3
2020-W35	60-79	0.5
2020-W35	80+	1.3
2020-W35	00+	0.4
2020-W36	60-79	0.7
2020-W36	80+	1.6
2020-W36	00+	0.5
2020-W37	60-79	0.6
2020-W37	80+	1.6
2020-W37	00+	0.5
2020-W38	60-79	0.5
2020-W38	80+	1.0
2020-W38	00+	0.6
2020-W39	60-79	1.2
2020-W39	80+	1.6
2020-W39	00+	0.7
2020-W40	60-79	1.9
2020-W40	80+	2.3
2020-W40	00+	0.9
2020-W41	60-79	2.1
2020-W41	80+	1.9
2020-W41	00+	1.2
2020-W42	60-79	3.4
2020-W42	80+	6.2
2020-W42	00+	2.3
2020-W43	60-79	7.1
2020-W43	80+	22.3
2020-W43	00+	4.7
2020-W44	60-79	15.1
2020-W44	80+	31.7
2020-W44	00+	8.2
2020-W45	60-79	15.1
2020-W45	80+	39.5
2020-W45	00+	9.2
2020-W46	60-79	18.0
2020-W46	80+	50.5
2020-W46	00+	11.4
2020-W47	60-79	17.1
2020-W47	80+	56.0
2020-W47	00+	10.8
2020-W48	60-79	17.5
2020-W48	80+	67.4
2020-W48	00+	11.7
2020-W49	60-79	21.8
2020-W49	80+	70.9
2020-W49	00+	13.1
2020-W50	60-79	25.0
2020-W50	80+	93.9
2020-W50	00+	15.5
2020-W51	60-79	30.2
2020-W51	80+	91.3
2020-W51	00+	16.7
2020-W52	60-79	28.7
2020-W52	80+	110.1
2020-W52	00+	18.2
2020-W53	60-79	30.7
2020-W53	80+	102.7
2020-W53	00+	17.3
2021-W01	60-79	21.5
2021-W01	80+	83.6
2021-W01	00+	13.8
2021-W02	60-79	19.8
2021-W02	80+	81.0
2021-W02	00+	12.7
2021-W03	60-79	18.4
2021-W03	80+	71.9
2021-W03	00+	11.3
2021-W04	60-79	15.6
2021-W04	80+	57.0
2021-W04	00+	9.3
2021-W05	60-79	12.3
2021-W05	80+	55.4
2021-W05	00+	7.7
2021-W06	60-79	11.8
2021-W06	80+	36.0
2021-W06	00+	7.2
2021-W07	60-79	10.7
2021-W07	80+	33.7
2021-W07	00+	6.1
2021-W08	60-79	10.8
2021-W08	80+	26.2
2021-W08	00+	6.0
2021-W09	60-79	12.4
2021-W09	80+	23.6
2021-W09	00+	6.4
2021-W10	60-79	12.8
2021-W10	80+	29.8
2021-W10	00+	7.4
2021-W11	60-79	14.0
2021-W11	80+	25.6
