year,month,day,cases
2020,12,18,251
2020,12,19,273
2020,12,20,156
2020,12,21,164
2020,12,22,230
2020,12,23,292
2020,12,24,235
2020,12,25,116
2020,12,26,165
2020,12,27,141
2020,12,28,148
2020,12,29,208
2020,12,30,203
2020,12,31,148
2021,1,1,120
2021,1,2,125
2021,1,3,135
2021,1,4,224
2021,1,5,170
2021,1,6,154
2021,1,7,185
2021,1,8,187
2021,1,9,161
2021,1,10,130
2021,1,11,163
2021,1,12,161
2021,1,13,187
2021,1,14,167
2021,1,15,168
2021,1,16,153
2021,1,17,103
2021,1,18,139
2021,1,19,184
2021,1,20,143
2021,1,21,152
2021,1,22,137
2021,1,23,109
2021,1,24,101
2021,1,25,133
2021,1,26,142
2021,1,27,145
2021,1,28,106
2021,1,29,138
2021,1,30,122
2021,1,31,113
2021,2,1,98
2021,2,2,116
2021,2,3,141
2021,2,4,150
2021,2,5,142
2021,2,6,104
2021,2,7,65
2021,2,8,102
2021,2,9,103
2021,2,10,114
2021,2,11,123
2021,2,12,102
2021,2,13,103
2021,2,14,81
2021,2,15,101
2021,2,16,118
2021,2,17,139
2021,2,18,100
2021,2,19,125
2021,2,20,119
2021,2,21,78
2021,2,22,102
2021,2,23,114
2021,2,24,121
2021,2,25,102
2021,2,26,129
2021,2,27,110
2021,2,28,106
2021,3,1,110
2021,3,2,110
2021,3,3,128
2021,3,4,96
2021,3,5,137
2021,3,6,126
2021,3,7,100
2021,3,8,158
2021,3,9,164
2021,3,10,169
2021,3,11,208
2021,3,12,190
2021,3,13,178
2021,3,14,135
2021,3,15,169
2021,3,16,163
2021,3,17,218
2021,3,18,177
2021,3,19,214
2021,3,20,176
2021,3,21,192
2021,3,22,194
2021,3,23,214
2021,3,24,242
2021,3,25,271
2021,3,26,229
2021,3,27,230
2021,3,28,196
2021,3,29,236
2021,3,30,240
2021,3,31,232
2021,4,1,243
2021,4,2,258
2021,4,3,215
2021,4,4,187
2021,4,5,239
2021,4,6,278
2021,4,7,297
2021,4,8,253
2021,4,9,295
2021,4,10,268
2021,4,11,283
2021,4,12,317
2021,4,13,304
2021,4,14,328
2021,4,15,302
2021,4,16,376
2021,4,17,346
2021,4,18,350
2021,4,19,384
2021,4,20,361
2021,4,21,367
2021,4,22,382
2021,4,23,401
2021,4,24,325
2021,4,25,292
2021,4,26,322
2021,4,27,264
2021,4,28,270
2021,4,29,251
2021,4,30,244
2021,5,1,288
2021,5,2,223
2021,5,3,239
2021,5,4,217
2021,5,5,232
2021,5,6,206
2021,5,7,200
2021,5,8,205
2021,5,9,145
2021,5,10,147
2021,5,11,152
2021,5,12,129
2021,5,13,121
2021,5,14,110
2021,5,15,139
2021,5,16,129
2021,5,17,87
2021,5,18,106
2021,5,19,97
2021,5,20,105
2021,5,21,108
2021,5,22,73
2021,5,23,59
2021,5,24,47
2021,5,25,58
2021,5,26,63
2021,5,27,66
2021,5,28,43
2021,5,29,59
2021,5,30,36
2021,5,31,56
2021,6,1,46
2021,6,2,47
2021,6,3,30
2021,6,4,32
2021,6,5,28
2021,6,6,26
2021,6,7,34
2021,6,8,35
2021,6,9,32
2021,6,10,29
2021,6,11,19
2021,6,12,22
2021,6,13,20
2021,6,14,18
2021,6,15,20
2021,6,16,13
2021,6,17,17
2021,6,18,18
2021,6,19,14
2021,6,20,7
2021,6,21,15
2021,6,22,9
2021,6,23,17
2021,6,24,18
2021,6,25,16
2021,6,26,10
2021,6,27,9
2021,6,28,19
2021,6,29,14
2021,6,30,27
2021,7,1,21
2021,7,2,15
2021,7,3,12
2021,7,4,16
2021,7,5,33
2021,7,6,30
2021,7,7,31
2021,7,8,35
2021,7,9,36
2021,7,10,27
2021,7,11,24
2021,7,12,41
2021,7,13,36
2021,7,14,68
2021,7,15,36
2021,7,16,44
2021,7,17,38
2021,7,18,38
2021,7,19,51
2021,7,20,64
2021,7,21,47
2021,7,22,58
2021,7,23,58
2021,7,24,51
2021,7,25,43
2021,7,26,59
