RunScript;Config;RunId;Output;offset;remainingFractionKiga;remainingFractionPrima;remainingFractionSecon;remainingFractionLeisure1;remainingFractionWork;remainingFractionShoppingBusinessErrands
run.sh;config_sz1.xml;sz1;output/-6-0.5-0.5-0.5-0.8-0.8-0.4;-6;0.5;0.5;0.5;0.8;0.8;0.4
run.sh;config_sz2.xml;sz2;output/-6-0.5-0.5-0.5-0.8-0.8-0.2;-6;0.5;0.5;0.5;0.8;0.8;0.2
run.sh;config_sz3.xml;sz3;output/-6-0.5-0.5-0.5-0.8-0.6-0.4;-6;0.5;0.5;0.5;0.8;0.6;0.4
run.sh;config_sz4.xml;sz4;output/-6-0.5-0.5-0.5-0.8-0.6-0.2;-6;0.5;0.5;0.5;0.8;0.6;0.2
run.sh;config_sz5.xml;sz5;output/-6-0.5-0.5-0.5-0.8-0.4-0.4;-6;0.5;0.5;0.5;0.8;0.4;0.4
run.sh;config_sz6.xml;sz6;output/-6-0.5-0.5-0.5-0.8-0.4-0.2;-6;0.5;0.5;0.5;0.8;0.4;0.2
run.sh;config_sz7.xml;sz7;output/-6-0.5-0.5-0.5-0.6-0.8-0.4;-6;0.5;0.5;0.5;0.6;0.8;0.4
run.sh;config_sz8.xml;sz8;output/-6-0.5-0.5-0.5-0.6-0.8-0.2;-6;0.5;0.5;0.5;0.6;0.8;0.2
run.sh;config_sz9.xml;sz9;output/-6-0.5-0.5-0.5-0.6-0.6-0.4;-6;0.5;0.5;0.5;0.6;0.6;0.4
run.sh;config_sz10.xml;sz10;output/-6-0.5-0.5-0.5-0.6-0.6-0.2;-6;0.5;0.5;0.5;0.6;0.6;0.2
run.sh;config_sz11.xml;sz11;output/-6-0.5-0.5-0.5-0.6-0.4-0.4;-6;0.5;0.5;0.5;0.6;0.4;0.4
run.sh;config_sz12.xml;sz12;output/-6-0.5-0.5-0.5-0.6-0.4-0.2;-6;0.5;0.5;0.5;0.6;0.4;0.2
run.sh;config_sz13.xml;sz13;output/-6-0.5-0.5-0.5-0.4-0.8-0.4;-6;0.5;0.5;0.5;0.4;0.8;0.4
run.sh;config_sz14.xml;sz14;output/-6-0.5-0.5-0.5-0.4-0.8-0.2;-6;0.5;0.5;0.5;0.4;0.8;0.2
run.sh;config_sz15.xml;sz15;output/-6-0.5-0.5-0.5-0.4-0.6-0.4;-6;0.5;0.5;0.5;0.4;0.6;0.4
run.sh;config_sz16.xml;sz16;output/-6-0.5-0.5-0.5-0.4-0.6-0.2;-6;0.5;0.5;0.5;0.4;0.6;0.2
run.sh;config_sz17.xml;sz17;output/-6-0.5-0.5-0.5-0.4-0.4-0.4;-6;0.5;0.5;0.5;0.4;0.4;0.4
run.sh;config_sz18.xml;sz18;output/-6-0.5-0.5-0.5-0.4-0.4-0.2;-6;0.5;0.5;0.5;0.4;0.4;0.2
run.sh;config_sz19.xml;sz19;output/-6-0.5-0.5-0.5-0.2-0.8-0.4;-6;0.5;0.5;0.5;0.2;0.8;0.4
run.sh;config_sz20.xml;sz20;output/-6-0.5-0.5-0.5-0.2-0.8-0.2;-6;0.5;0.5;0.5;0.2;0.8;0.2
